LK_ArticleNumber;SENDID;RECEID;PCF_PATH;LK_PCBNO;P17_15_PCB_STUFF_NO;LK_ArticleIndex;LK_ArticleName;CustomerNr;P17_20_DAI_ARTICLE_LU;PrintInfo_Designation2;PrintInfo_Qlevel;PrintInfo_Qlevel2;PrintInfo_SWN;P17_30_LABELDATA_SW_NO;PrintInfo_DlagID;PrintInfo_HWN;P17_25_LABELDATA_HW_NO;ScheduleName;Print_File_Name;Print_Mask_Name;Enabled;PCF Filename;VariantType;VariantCode;HwVersionMajor;HwVersionMinor;LK_SW_Version;Custom_SW_Version;P17_05_LK_Article_No;P17_05_LK_Article_No_Command;P17_05_LK_INDEX_COMMAND;P17_10_ArticleBuildLevelECO;P17_35_LABELDATA_HW_STATUS;P17_40_LABELDATA_SW_STATUS;P17_45_LABELDATA_PRODUCTION_DATA;P17_50_LabelData_Description;P17_55_DEVELOPMENT_LEVEL;ST_5_02;ST_5_03;ST_5_07;ST_5_08;ST_5_09;ST_5_10;ST_5_12;ST_5_14;ST_5_16;ST_5_17;ST_5_18;ST_5_19;ST_5_20;ST_5_21;ST_5_22;ST_5_26;ST_5_27;ST_5_28;ST_10_8;ST_10_9;ST_10_10;ST_10_11;ST_10_12;ST_10_13;ST_10_15;ST_10_16;ST_10_17;ST_10_18;ST_10_19;ST_10_20;ST_10_21;ST_10_22;ST_10_23;ST_10_25;ST_10_26;ST_10_27;ST_10_28;ST_10_29;ST_10_30;ST_10_31;ST_10_32;ST_10_33;ST_10_34;ST_10_35;ST_10_36;ST_10_37;ST_10_38;ST_10_39;ST_10_40;ST_10_41;ST_10_42;ST_10_43;ST_10_44;ST_10_45;ST_10_46;ST_10_47;ST_10_48;ST_10_49;ST_10_X5;ST_10_80;ST_10_81;ST_10_82;ST_10_83;ST_10_84;ST_10_85;ST_10_86;ST_10_87;ST_10_88;ST_10_89;ST_10_90;ST_10_91;ST_10_93;ST_10_94;ST_10_95;ST_10_96;ST_10_98;ST_10_99;ST_10_100;ST_10_101;ST_10_102;ST_10_103;ST_10_104;ST_10_107;ST_10_108;ST_10_109;ST_10_110;ST_10_111;ST_10_113;ST_10_114;ST_10_118;ST_10_121;ST_10_122;ST_10_123;ST_10_124;ST_10_125;ST_10_126;ST_10_127;ST_10_128;ST_10_129;ST_10_130;ST_10_131;ST_10_132;ST_10_133;ST_10_134;ST_10_135;ST_10_136;ST_10_137;ST_10_138;ST_10_139;ST_10_140;ST_10_143;ST_10_146;ST_10_148;ST_10_149;ST_10_153;ST_10_154;ST_10_155;ST_10_156;ST_10_157;ST_10_158;ST_10_159;ST_10_160;ST_10_161;ST_10_162;ST_10_163;ST_10_164;ST_16;ST_100_21;ST_100_23;ST_100_27;ST_100_28;ST_100_29;ST_100_31;ST_100_32;ST_100_33;ST_100_36;ST_100_38;ST_100_51;ST_100_53;ST_100_57;ST_100_58;ST_100_59;ST_100_61;ST_100_62;ST_100_63;ST_100_66;ST_120_01;ST_120_02;ST_120_03;ST_120_031;ST_120_04;ST_120_05;ST_120_06;ST_120_07;ST_120_08;ST_120_81;ST_120_100;ST_130_00;ST_150_090;ST_150_100;ST_150_110;ST_150_120;ST_150_130;ST_150_140;ST_150_150;ST_150_155;ST_150_160;ST_160;ST_170;ST_180;ST_181;ST_185;ST_186;ST_190_030;ST_190_040;ST_190_100;ST_190_110;ST_190_120;ST_190_130;ST_190_135;ST_190_140;ST_190_150;ST_190_151;ST_190_160;ST_190_170;ST_190_180;ST_190_200;ST_190_212;ST_190_214;ST_190_215;ST_190_216;ST_190_2160;ST_190_217;ST_190_218;ST_190_219;ST_190_220;ST_190_221;ST_190_260;ST_190_270;ST_190_320;ST_190_330;ST_190_340;ST_190_350;ST_190_360;ST_190_370;ST_190_380;ST_190_390;ST_190_400;ST_190_410;ST_190_420;ST_190_432;ST_190_434;ST_190_435;ST_190_436;ST_190_437;ST_190_438;ST_190_439;ST_190_440;ST_190_441;ST_191;ST_192;ST_195_010;ST_195_020;ST_195_030;ST_195_040;ST_195_090;ST_195_100;ST_195_110;ST_195_160;ST_1110_010
10529003;98E13089;98E13081;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_FL.pcf;12034599;12 03 45 99;1;Daimler_V1_D;A 206 900 01 13;A2069000113;DM;E;31;A 206 902 86 03;A2069028603;28;A206 901 65 05;A2069016505;DaimlerDUT;10516931.txt;10516931;true;;D;D1;1;1;04.72.000;;10 52 90 03 00;05 08 E4 07 10 52 90 03;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2003J;Front D V1;Q 01;x;;x;;;x;x;x;x;x;;x;;x;;;;;;;;;;;x;x;x;x;x;x;x;;;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;;x;;;;;x;x;x;;;;;;;;;x;x;x;x;;;x;x;;x;x;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;;;x;;;;1;;x;;;;;;;;;;x;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;;;;;;;;;;;D;;;;;x;;x;;;;;;;x;x;x;;x;x;;;;x;x;x;;;;x;;x;;;;;;x;x;x;;x;x;;;x;x;x;;;;;;x;x;x;;x;x;;x;No
10529004;98E13089;98E13081;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_FL.pcf;12035902;12 03 59 02;1;Daimler_V2_D;A 206 900 02 13;A2069000213;DM;E;31;A 206 902 86 03;A2069028603;28;A206 901 66 05;A2069016605;DaimlerDUT;10516931.txt;10516931;true;;D;D2;1;1;04.72.000;;10 52 90 04 00;05 08 E4 07 10 52 90 04;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2003J;Front D V2;Q 01;x;;x;;;x;x;x;x;x;x;x;;x;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;;;x;x;x;x;;x;;;;;;;;;;x;x;x;x;x;x;;x;x;x;;;;x;;;;x;;;;x;;;;;x;x;x;;;;;;;;;x;x;x;x;;;x;x;;x;x;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;;;x;;;;D;;x;x;x;x;;;;;;;x;x;x;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x;;;;;;;;;;D;D;;;;;x;;x;;;;;;;x;x;x;;x;x;;;;x;x;x;;;;x;;x;;;;;;x;x;x;;x;x;;;x;x;x;;;;;;x;x;x;x;x;x;x;x;No
10529005;98E13089;98E13081;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_FL.pcf;12035358;12 03 53 58;1;Daimler_V3_D;A 223 900 15 26;A2239001526;DM;E;31;A 206 902 86 03;A2069028603;28;A223 901 11 11;A2239011111;DaimlerDUT;10516931.txt;10516931;true;;D;D3;1;1;04.72.000;;10 52 90 05 00;05 08 E4 07 10 52 90 05;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2003J;Front D V3;Q 01;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;D;D;x;;;;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;No
10529007;98E13289;98E13281;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_FR.pcf;12034600;12 03 46 00;1;Daimler_V1_P;A 206 900 03 13;A2069000313;DM;E;31;A 206 902 86 03;A2069028603;28;A206 901 67 05;A2069016705;DaimlerDUT;10516931.txt;10516931;true;;P;P1;1;1;04.72.000;;10 52 90 07 00;05 08 E4 07 10 52 90 07;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2004J;Front P V1;Q 01;x;;;;;x;x;;;;;x;;x;;;x;;;;;;;;x;x;x;x;x;x;x;;;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;x;x;x;x;;;x;x;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;x;x;x;x;x;x;;;;;;x;;;;;;;;;;;P;;;;;x;;;;;;;;;x;;;;x;;;;;x;;;;;;x;;;;;;;;x;;;;x;;;;x;;;;;;;;x;x;x;;x;x;;x;No
10529008;98E13289;98E13281;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_FR.pcf;12035904;12 03 59 04;1;Daimler_V2_P;A 206 900 04 13;A2069000413;DM;E;31;A 206 902 86 03;A2069028603;28;A206 901 68 05;A2069016805;DaimlerDUT;10516931.txt;10516931;true;;P;P2;1;1;04.72.000;;10 52 90 08 00;05 08 E4 07 10 52 90 08;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2005J;Front P V2;Q 01;x;;;;;x;x;;;;;x;;x;x;;x;;;;;;;;x;x;x;x;x;x;x;;;x;x;x;x;;x;;;;;;;;;;x;x;x;x;x;x;;x;x;x;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;x;x;x;x;;;x;x;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;x;x;x;;;;;;;;x;x;x;;;;;x;x;x;x;x;x;;;;;;x;;;;;;;;;;P;P;;;;;x;;;;;;;;;x;;;;x;;;;;x;;;;;;x;;;;;;;;x;;;;x;;;;x;;;;;;;;x;x;x;;x;x;;x;No
10529009;98E13289;98E13281;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_FR.pcf;12035359;12 03 53 59;1;Daimler_V3_P;A 223 900 17 26;A2239001726;DM;E;31;A 206 902 86 03;A2069028603;28;A223 901 13 11;A2239011311;DaimlerDUT;10516931.txt;10516931;true;;P;P3;1;1;04.72.000;;10 52 90 09 00;05 08 E4 07 10 52 90 09;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2006J;Front P V3;Q 01;x;x;;;x;x;x;;;;;x;x;x;x;x;x;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;x;;x;x;x;x;x;x;;x;x;;x;x;x;x;x;x;;x;x;x;x;x;x;;;;;;x;x;x;x;x;x;x;x;x;x;P;P;x;;;;x;x;;;;x;x;x;x;;;;x;x;;;;x;;;;x;x;x;x;x;;;;x;x;x;x;;;x;x;;;;x;;;x;x;x;x;x;x;x;x;;x;x;;x;No
10529011;98E13489;98E13481;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_RL.pcf;12034598;12 03 45 98;1;Daimler_V1_RL;A 206 900 05 13;A2069000513;DM;E;31;A 206 902 87 03;A2069028703;28;A206 901 69 05;A2069016905;DaimlerDUT;10516931.txt;10516931;true;;RL;R1;1;1;04.72.000;;10 52 90 11 00;05 08 E4 07 10 52 90 11;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2007J;Rear L V1;Q 01;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;x;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rear
10529012;98E13489;98E13481;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_RL.pcf;12035357;12 03 53 57;1;Daimler_V2_RL;A 223 900 19 26;A2239001926;DM;E;31;A 206 902 87 03;A2069028703;28;A223 901 15 11;A2239011511;DaimlerDUT;10516931.txt;10516931;true;;RL;R2;1;1;04.72.000;;10 52 90 12 00;05 08 E4 07 10 52 90 12;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2008J;Rear L V2;Q 01;;x;;;x;x;x;x;;;;x;;;;x;x;x;;x;;;;;x;x;x;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;;;;;;;x;x;x;x;x;x;x;x;x;x;7;x;;;;;x;x;x;;x;x;;;;;x;x;x;;x;x;x;x;x;x;;;;;;x;x;x;x;x;x;x;x;x;x;;;x;;x;x;;x;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;x;x;;;;;;;;;Rear
10529014;98E13689;98E13681;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_RR.pcf;12034598;12 03 45 98;1;Daimler_V1_RR;A 206 900 06 13;A2069000613;DM;E;31;A 206 902 87 03;A2069028703;28;A206 901 71 05;A2069017105;DaimlerDUT;10516931.txt;10516931;true;;RR;R1;1;1;04.72.000;;10 52 90 14 00;05 08 E4 07 10 52 90 14;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2009J;Rear R V1;Q 01;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;x;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rear
10529015;98E13689;98E13681;config\pcf\R11\Daimler_DAI_BR223_DCU_DM_RR.pcf;12035357;12 03 53 57;1;Daimler_V2_RR;A 223 900 21 26;A2239002126;DM;E;31;A 206 902 87 03;A2069028703;28;A223 901 17 11;A2239011711;DaimlerDUT;10516931.txt;10516931;true;;RR;R2;1;1;04.72.000;;10 52 90 15 00;05 08 E4 07 10 52 90 15;05 08 E8 04 00 00 00 00;C0128224;19/44_00;20/43_01;2010J;Rear R V2;Q 01;;x;;;x;x;x;x;;;;x;;;;x;x;x;;x;;;;;x;x;x;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;;;;;;;x;x;x;x;x;x;x;x;x;x;8;x;;;;;x;x;x;;x;x;;;;;x;x;x;;x;x;x;x;x;x;;;;;;x;x;x;x;x;x;x;x;x;x;;;x;;x;x;;x;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;x;x;;;;;;;;;Rear
10529860;98E13089;98E13081;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_FL.pcf;12112311;12 03 23 11;1;Daimler_V2_D;A 206 900 79 12;A2069007912;DM;E;34;A 206 902 74 03;A2069027403;31;A206 901 66 05;A2069016605;DaimlerDUT;10516931.txt;10516931;true;;D;D2;1;1;05.31.000;;10 52 98 60 01;05 08 E4 07 10 52 98 60;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2003J;Front D V2;Q 01;x;;x;;;x;x;x;x;x;x;x;;x;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;;;x;x;x;x;;x;;;;;;;;;;x;x;x;x;x;x;;x;x;x;;;;x;;;;x;;;;x;;;;;x;x;x;;;;;;;;;x;x;x;x;;;x;x;;x;x;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;;;x;;;;D;;x;x;x;x;;;;;;;x;x;x;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x;;;;;;;;;;D;D;;;;;x;;x;;;;;;;x;x;x;;x;x;;;;x;x;x;;;;x;;x;;;;;;x;x;x;;x;x;;;x;x;x;;;;;;x;x;x;x;x;x;x;x;No
10529862;98E13089;98E13081;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_FL.pcf;12112313;12 03 23 13;1;Daimler_V3_D;A 223 900 46 25;A2239004625;DM;E;34;A 206 902 74 03;A2069027403;31;A223 901 11 11;A2239011111;DaimlerDUT;10516931.txt;10516931;true;;D;D3;1;1;05.31.000;;10 52 98 62 01;05 08 E4 07 10 52 98 62;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2003J;Front D V3;Q 01;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;D;D;;x;;;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;No
10529861;98E13289;98E13281;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_FR.pcf;12112312;12 03 23 12;1;Daimler_V2_P;A 206 900 80 12;A2069008012;DM;E;34;A 206 902 74 03;A2069027403;31;A206 901 68 05;A2069016805;DaimlerDUT;10516931.txt;10516931;true;;P;P2;1;1;05.31.000;;10 52 98 61 01;05 08 E4 07 10 52 98 61;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2005J;Front P V2;Q 01;x;;;;;x;x;;;;;x;;x;x;;x;;;;;;;;x;x;x;x;x;x;x;;;x;x;x;x;;x;;;;;;;;;;x;x;x;x;x;x;;x;x;x;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;x;x;x;x;;;x;x;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;x;x;x;;;;;;;;x;x;x;;;;;x;x;x;x;x;x;;;;;;x;;;;;;;;;;P;P;;;;;x;;;;;;;;;x;;;;x;;;;;x;;;;;;x;;;;;;;;x;;;;x;;;;x;;;;;;;;x;x;x;;x;x;;x;No
10529863;98E13289;98E13281;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_FR.pcf;12112314;12 03 23 14;1;Daimler_V3_P;A 223 900 48 25;A2239004825;DM;E;34;A 206 902 74 03;A2069027403;31;A223 901 13 11;A2239011311;DaimlerDUT;10516931.txt;10516931;true;;P;P3;1;1;05.31.000;;10 52 98 63 01;05 08 E4 07 10 52 98 63;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2006J;Front P V3;Q 01;x;x;;;x;x;x;;;;;x;x;x;x;x;x;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;x;;x;x;x;x;x;x;;x;x;;x;x;x;x;x;x;;x;x;x;x;x;x;;;;;;x;x;x;x;x;x;x;x;x;x;P;P;;x;;;x;x;;;;x;x;x;x;;;;x;x;;;;x;;;;x;x;x;x;x;;;;x;x;x;x;;;x;x;;;;x;;;x;x;x;x;x;x;x;x;;x;x;;x;No
10529866;98E13489;98E13481;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_RL.pcf;12112315;12 03 23 15;1;Daimler_V1_RL;A 206 900 81 12;A2069008112;DM;E;34;A 206 902 75 03;A2069027503;31;A206 901 69 05;A2069016905;DaimlerDUT;10516931.txt;10516931;true;;RL;R1;1;1;05.31.000;;10 52 98 66 01;05 08 E4 07 10 52 98 66;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2007J;Rear L V1;Q 01;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;x;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rear
10529868;98E13489;98E13481;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_RL.pcf;12112317;12 03 23 17;1;Daimler_V2_RL;A 223 900 50 25;A2239005025;DM;E;34;A 206 902 75 03;A2069027503;31;A223 901 15 11;A2239011511;DaimlerDUT;10516931.txt;10516931;true;;RL;R2;1;1;05.31.000;;10 52 98 68 01;05 08 E4 07 10 52 98 68;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2008J;Rear L V2;Q 01;;x;;;x;x;x;x;;;;x;;;;x;x;x;;x;;;;;x;x;x;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;;;;;;;x;x;x;x;x;x;x;x;x;x;7;x;;;;;x;x;x;;x;x;;;;;x;x;x;;x;x;x;x;x;x;;;;;;x;x;x;x;x;x;x;x;x;x;;;;x;x;x;;x;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;x;x;;;;;;;;;Rear
10529867;98E13689;98E13681;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_RR.pcf;12112316;12 03 23 16;1;Daimler_V1_RR;A 206 900 82 12;A2069008212;DM;E;34;A 206 902 75 03;A2069027503;31;A206 901 71 05;A2069017105;DaimlerDUT;10516931.txt;10516931;true;;RR;R1;1;1;05.31.000;;10 52 98 67 01;05 08 E4 07 10 52 98 67;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2009J;Rear R V1;Q 01;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;x;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rear
10529869;98E13689;98E13681;config\pcf\R13\Daimler_DAI_BR223_DCU_DM_RR.pcf;12112319;12 03 23 19;1;Daimler_V2_RR;A 223 900 52 25;A2239005225;DM;E;34;A 206 902 75 03;A2069027503;31;A223 901 17 11;A2239011711;DaimlerDUT;10516931.txt;10516931;true;;RR;R2;1;1;05.31.000;;10 52 98 69 01;05 08 E4 07 10 52 98 69;05 08 E8 04 01 00 00 00;C0129958;19/44_00;20/45_01;2010J;Rear R V2;Q 01;;x;;;x;x;x;x;;;;x;;;;x;x;x;;x;;;;;x;x;x;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;;;;;;;x;x;x;x;x;x;x;x;x;x;8;x;;;;;x;x;x;;x;x;;;;;x;x;x;;x;x;x;x;x;x;;;;;;x;x;x;x;x;x;x;x;x;x;;;;x;x;x;;x;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;x;x;;;;;;;;;Rear
